"ERROR","DESCRIPTION"
"computedsatvpfail","error in computing the satvp on 2012-01-01 00:00:00, probe VPDUPL04"
"computedsatvpfail","error in computing the satvp on 2012-01-02 00:00:00, probe VPDUPL04"
"computedsatvpfail","error in computing the satvp on 2012-01-01 00:00:00, probe VPDVAN04"
"computedsatvpfail","error in computing the satvp on 2012-01-02 00:00:00, probe VPDVAN04"
"computedsatvpfail","error in computing the satvp on 2012-01-01 00:00:00, probe VPDH1502"
"computedsatvpfail","error in computing the satvp on 2012-01-02 00:00:00, probe VPDH1502"
"computedvaporpressure","error in computing the vapor pressure on 2012-01-01 00:00:00, probe VPDUPL04"
"computedvaporpressure","error in computing the vapor pressure on 2012-01-02 00:00:00, probe VPDUPL04"
"computedvaporpressure","error in computing the vapor pressure on 2012-01-01 00:00:00, probe VPDVAN04"
"computedvaporpressure","error in computing the vapor pressure on 2012-01-02 00:00:00, probe VPDVAN04"
"computedvaporpressure","error in computing the vapor pressure on 2012-01-01 00:00:00, probe VPDH1502"
"computedvaporpressure","error in computing the vapor pressure on 2012-01-02 00:00:00, probe VPDH1502"
"computedvpdfail","error in computing the VPD on 2012-01-01 00:00:00, probe VPDUPL04"
"computedvpdfail","error in computing the VPD on 2012-01-02 00:00:00, probe VPDUPL04"
"computedvpdfail","error in computing the VPD on 2012-01-01 00:00:00, probe VPDVAN04"
"computedvpdfail","error in computing the VPD on 2012-01-02 00:00:00, probe VPDVAN04"
"computedvpdfail","error in computing the VPD on 2012-01-01 00:00:00, probe VPDH1502"
"computedvpdfail","error in computing the VPD on 2012-01-02 00:00:00, probe VPDH1502"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDCS202, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDCS202, total number of observations: 23"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDCEN01, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDCEN01, total number of observations: 23"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDCEN04, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDCEN04, total number of observations: 23"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDPRI04, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDPRI04, total number of observations: 23"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDUPL04, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDUPL04, total number of observations: 23"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDUPL01, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDUPL01, total number of observations: 23"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDPRI01, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDPRI01, total number of observations: 23"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDVAN04, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDVAN04, total number of observations: 23"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2011-12-31 00:00:00, probe VPDVAN01, total number of observations: 1"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2012-01-03 00:00:00, probe VPDVAN01, total number of observations: 23"
