DBCODE, ENTITY, SITECODE, SOLAR_METHOD, HEIGHT, QC_LEVEL, PROBE_CODE, DATE, SOLAR_TOT_DAY, SOLAR_TOT_FLAG, SOLAR_MEAN_DAY, SOLAR_MEAN_FLAG, SOLAR_MAX_DAY, SOLAR_MAX_FLAG, SOLAR_MAXTIME, EVENTCODE, SOURCE
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-01 00:00:00,4.262,A,49.313,A,219.0,A,1000,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-02 00:00:00,11.735,A,135.854,A,852.0,A,1315,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-03 00:00:00,12.612,A,145.958,A,653.0,A,1330,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-04 00:00:00,8.749,A,101.323,A,723.0,A,1115,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-05 00:00:00,4.08,A,47.26,A,251.0,A,1030,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-06 00:00:00,9.953,A,115.177,A,686.0,A,1500,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-07 00:00:00,19.732,A,228.438,A,838.0,A,1215,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-08 00:00:00,18.834,A,218.021,A,824.0,A,1115,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-09 00:00:00,14.547,A,168.385,A,995.0,A,1330,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-10 00:00:00,20.157,A,233.281,A,855.0,A,1230,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-11 00:00:00,20.347,A,235.51,A,851.0,A,1215,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-12 00:00:00,21.039,A,243.49,A,876.0,A,1215,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-13 00:00:00,21.284,A,246.385,A,878.0,A,1215,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-14 00:00:00,15.958,A,184.771,A,813.0,A,1115,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-15 00:00:00,14.146,A,163.75,A,932.0,A,1215,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-16 00:00:00,16.761,A,194.021,A,940.0,A,1215,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-17 00:00:00,2.39,A,27.719,A,105.0,A,1400,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-18 00:00:00,19.566,A,226.458,A,845.0,A,1145,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-19 00:00:00,6.447,A,74.656,A,397.0,A,1015,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-20 00:00:00,19.627,A,227.167,A,871.0,A,1230,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-21 00:00:00,11.015,A,127.531,A,853.0,A,1145,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-22 00:00:00,9.274,A,107.375,A,926.0,A,1315,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-23 00:00:00,5.422,A,62.708,A,256.0,A,1430,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-24 00:00:00,5.429,A,62.844,A,715.0,A,1200,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-25 00:00:00,12.841,A,148.635,A,1143.0,A,1200,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-26 00:00:00,12.192,A,141.167,A,799.0,A,1130,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-27 00:00:00,2.436,A,28.188,A,205.0,A,1700,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-28 00:00:00,23.309,A,269.698,A,967.0,A,1215,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-29 00:00:00,22.654,A,262.229,A,887.0,A,1130,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-04-30 00:00:00,23.603,A,273.24,A,908.0,A,1245,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-01 00:00:00,21.726,A,251.5,A,871.0,A,1145,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-02 00:00:00,17.361,A,200.938,A,761.0,A,1045,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-03 00:00:00,11.494,A,133.021,A,912.0,A,1030,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-04 00:00:00,9.008,A,104.323,A,649.0,A,1030,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-05 00:00:00,11.712,A,135.521,A,1051.0,A,1145,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-06 00:00:00,13.058,A,151.188,A,966.0,A,1300,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-07 00:00:00,24.049,A,278.354,A,931.0,A,1245,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-08 00:00:00,4.915,A,56.896,A,281.0,A,1045,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-09 00:00:00,4.28,A,49.552,A,428.0,A,1100,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-10 00:00:00,9.771,A,113.104,A,629.0,A,1215,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-11 00:00:00,21.161,A,244.927,A,1059.0,A,1315,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-12 00:00:00,23.148,A,267.917,A,899.0,A,1115,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-13 00:00:00,25.196,A,291.656,A,916.0,A,1200,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-14 00:00:00,25.211,A,291.771,A,933.0,A,1200,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-15 00:00:00,20.282,A,234.75,A,836.0,A,1200,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-16 00:00:00,24.856,A,287.76,A,962.0,A,1130,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-17 00:00:00,21.529,A,249.208,A,1008.0,A,1315,NA,STEWARTIA
MS043,5,CENMET,RAD112,625,1P,RADCEN01,2014-05-18 00:00:00,5.86,A,67.813,A,308.0,A,1100,NA,STEWARTIA
