date_in_db,method_in_db,method_in_table,date_start_table,date_end_table
2013-04-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-04-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-05-31,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-06-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-31,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
