probe_code,date_start_table,date_end_table,current_event_code
VPDCEN01,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
VPDCEN01,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
VPDCEN04,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
VPDCEN04,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
VPDPRI04,2013-04-30 00:00:00,2014-05-15 00:00:00,NA    
VPDVAN01,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
VPDVAN01,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
VPDVAN01,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
VPDVAN01,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
VPDVAN04,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
VPDVAN04,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
VPDVAN04,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
VPDVAN04,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
DEWCEN01,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
DEWCEN04,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
DEWPRI04,2013-04-30 00:00:00,2014-05-15 00:00:00,NA    
DEWVAN01,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
DEWVAN01,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
DEWVAN04,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
DEWVAN04,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
AIRCEN01,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
AIRCEN02,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
AIRCEN03,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
AIRCEN04,2014-08-26 00:00:00,2050-12-31 00:00:00,NA    
AIRPRI07,2013-04-16 00:00:00,2050-12-31 00:00:00,NA    
AIRPRI08,2013-04-16 00:00:00,2050-12-31 00:00:00,NA    
AIRPRI09,2013-04-16 00:00:00,2050-12-31 00:00:00,NA    
AIRVAN01,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
AIRVAN01,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
AIRVAN02,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
AIRVAN02,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
AIRVAN03,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
AIRVAN03,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
AIRVAN04,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
AIRVAN04,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
RELPRI01,2013-04-30 00:00:00,2014-05-15 00:00:00,NA    
RELPRI04,2013-04-30 00:00:00,2014-05-15 00:00:00,NA    
RELVAN01,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
RELVAN01,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
RELVAN04,2014-02-13 00:00:00,2014-05-21 00:00:00,NA    
RELVAN04,2014-05-21 00:00:00,2050-12-31 00:00:00,NA    
