sitecode,probe_code,date_bgn,date_end,height,depth,method_code
"CENMET","AIRCEN01",08/26/2014,12/31/2050,450,0,"AIR248"
"CENMET","AIRCEN02",08/26/2014,12/31/2050,350,0,"AIR247"
"CENMET","AIRCEN03",08/26/2014,12/31/2050,250,0,"AIR246"
"CENMET","AIRCEN04",08/26/2014,12/31/2050,150,0,"AIR245"
"CS2MET","AIRCS202",02/28/2012,12/31/2050,150,0,"AIR334"
"H15MET","AIRH1501",02/01/2013,12/31/2050,450,0,"AIR335"
"H15MET","AIRH1502",02/01/2013,12/31/2050,150,0,"AIR334"
"PRIMET","AIRPRI01",05/15/2014,12/31/2050,450,0,"AIR248"
"PRIMET","AIRPRI02",05/15/2014,12/31/2050,350,0,"AIR247"
"PRIMET","AIRPRI03",05/15/2014,12/31/2050,250,0,"AIR246"
"PRIMET","AIRPRI04",05/15/2014,12/31/2050,150,0,"AIR245"
"PRIMET","AIRPRI06",04/17/2013,12/31/2050,150,0,"AIR241"
"PRIMET","AIRPRI07",04/16/2013,12/31/2050,250,0,"AIR242"
"PRIMET","AIRPRI08",04/16/2013,12/31/2050,350,0,"AIR243"
"PRIMET","AIRPRI09",04/16/2013,12/31/2050,450,0,"AIR244"
"UPLMET","AIRUPL01",05/29/2012,12/31/2050,450,0,"AIR335"
"UPLMET","AIRUPL02",05/29/2012,12/31/2050,350,0,"AIR327"
"UPLMET","AIRUPL03",05/29/2012,12/31/2050,250,0,"AIR326"
"UPLMET","AIRUPL04",05/29/2012,12/31/2050,150,0,"AIR334"
"UPLMET","AIRUPL08",05/29/2012,12/31/2050,350,0,"AIR138"
"VANMET","AIRVAN01",05/21/2014,12/31/2050,450,0,"AIR248"
"VANMET","AIRVAN02",05/21/2014,12/31/2050,350,0,"AIR247"
"VANMET","AIRVAN03",05/21/2014,12/31/2050,250,0,"AIR246"
"VANMET","AIRVAN04",05/21/2014,12/31/2050,150,0,"AIR245"
"VANMET","AIRVAN08",09/13/2013,12/31/2050,350,0,"AIR238"
"VANMET","AIRVAN10",10/23/2009,12/31/2050,450,0,"AIR228"
"CENMET","DEWCEN01",08/26/2014,12/31/2050,450,0,"DEW217"
"CENMET","DEWCEN04",08/26/2014,12/31/2050,150,0,"DEW216"
"CS2MET","DEWCS202",02/28/2012,12/31/2050,150,0,"DEW311"
"H15MET","DEWH1501",02/01/2013,12/31/2050,450,0,"DEW315"
"H15MET","DEWH1502",02/01/2013,12/31/2050,150,0,"DEW314"
"PRIMET","DEWPRI01",05/15/2014,12/31/2050,450,0,"DEW217"
"PRIMET","DEWPRI04",05/15/2014,12/31/2050,150,0,"DEW216"
"UPLMET","DEWUPL01",05/29/2012,12/31/2050,450,0,"DEW312"
"UPLMET","DEWUPL04",05/29/2012,12/31/2050,150,0,"DEW311"
