"ERROR","DESCRIPTION"
"incompleteday","Incomplete or overfilled day:  2015-04-15 00:00:00, probe SOIPRI04, total number of observations: 1"
"incompleteday","Incomplete or overfilled day:  2015-05-02 00:00:00, probe SOIPRI04, total number of observations: 287"
"incompleteday","Incomplete or overfilled day:  2015-04-15 00:00:00, probe SOIPRI02, total number of observations: 1"
"incompleteday","Incomplete or overfilled day:  2015-05-02 00:00:00, probe SOIPRI02, total number of observations: 287"
"incompleteday","Incomplete or overfilled day:  2015-04-15 00:00:00, probe SOIPRI03, total number of observations: 1"
"incompleteday","Incomplete or overfilled day:  2015-05-02 00:00:00, probe SOIPRI03, total number of observations: 287"
"incompleteday","Incomplete or overfilled day:  2015-04-15 00:00:00, probe SOIPRI01, total number of observations: 1"
"incompleteday","Incomplete or overfilled day:  2015-05-02 00:00:00, probe SOIPRI01, total number of observations: 287"
"incompleteday","Incomplete or overfilled day:  2015-04-15 00:00:00, probe SOICEN03, total number of observations: 1"
"incompleteday","Incomplete or overfilled day:  2015-05-02 00:00:00, probe SOICEN03, total number of observations: 287"
"incompleteday","Incomplete or overfilled day:  2015-04-15 00:00:00, probe SOICEN02, total number of observations: 1"
"incompleteday","Incomplete or overfilled day:  2015-05-02 00:00:00, probe SOICEN02, total number of observations: 287"
"incompleteday","Incomplete or overfilled day:  2015-04-15 00:00:00, probe SOICEN01, total number of observations: 1"
"incompleteday","Incomplete or overfilled day:  2015-05-02 00:00:00, probe SOICEN01, total number of observations: 287"
"incompleteday","Incomplete or overfilled day:  2015-04-15 00:00:00, probe SOICEN04, total number of observations: 1"
"incompleteday","Incomplete or overfilled day:  2015-05-02 00:00:00, probe SOICEN04, total number of observations: 287"
