"ERROR","DESCRIPTION"
"incompleteday","Incomplete or overfilled day:  2015-04-16 00:00:00, probe SWCCEN01, total number of observations: 21"
"incompleteday","Incomplete or overfilled day:  2015-04-22 00:00:00, probe SWCCEN01, total number of observations: 259"
"incompleteday","Incomplete or overfilled day:  2015-05-03 00:00:00, probe SWCCEN01, total number of observations: 166"
"incompleteday","Incomplete or overfilled day:  2015-04-16 00:00:00, probe SWCCEN03, total number of observations: 21"
"incompleteday","Incomplete or overfilled day:  2015-04-22 00:00:00, probe SWCCEN03, total number of observations: 259"
"incompleteday","Incomplete or overfilled day:  2015-05-03 00:00:00, probe SWCCEN03, total number of observations: 166"
"incompleteday","Incomplete or overfilled day:  2015-04-16 00:00:00, probe SWCCEN02, total number of observations: 21"
"incompleteday","Incomplete or overfilled day:  2015-04-22 00:00:00, probe SWCCEN02, total number of observations: 259"
"incompleteday","Incomplete or overfilled day:  2015-05-03 00:00:00, probe SWCCEN02, total number of observations: 166"
"incompleteday","Incomplete or overfilled day:  2015-04-16 00:00:00, probe SWCCEN04, total number of observations: 21"
"incompleteday","Incomplete or overfilled day:  2015-04-22 00:00:00, probe SWCCEN04, total number of observations: 259"
"incompleteday","Incomplete or overfilled day:  2015-05-03 00:00:00, probe SWCCEN04, total number of observations: 166"
