"ERROR","DESCRIPTION"
"incomplete_day","the total number of observations on 2011-12-31 00:00:00 is 1 on probe WNDH1501"
"incomplete_day","the total number of observations on 2012-01-02 00:00:00 is 23 on probe WNDH1501"
"incomplete_day","the total number of observations on 2011-12-31 00:00:00 is 1 on probe WNDVAN01"
"incomplete_day","the total number of observations on 2012-01-02 00:00:00 is 23 on probe WNDVAN01"
"incomplete_day","the total number of observations on 2011-12-31 00:00:00 is 1 on probe WNDCEN01"
"incomplete_day","the total number of observations on 2012-01-02 00:00:00 is 23 on probe WNDCEN01"
"incomplete_day","the total number of observations on 2011-12-31 00:00:00 is 1 on probe WNDPRI01"
"incomplete_day","the total number of observations on 2012-01-02 00:00:00 is 23 on probe WNDPRI01"
"incomplete_day","the total number of observations on 2011-12-31 00:00:00 is 1 on probe WNDUPL01"
"incomplete_day","the total number of observations on 2012-01-02 00:00:00 is 23 on probe WNDUPL01"
