DBCODE, ENTITY, SITECODE, PRECIP_METHOD, HEIGHT, QC_LEVEL, PROBE_CODE, DATE, PRECIP_TOT_DAY, PRECIP_TOT_FLAG, EVENT_CODE
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2013-12-30 00:00:00,0.0,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2013-12-31 00:00:00,0.0,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-01 00:00:00,0.0,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-02 00:00:00,0.0,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-03 00:00:00,2.96,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-04 00:00:00,0.37,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-05 00:00:00,0.0,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-06 00:00:00,0.0,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-07 00:00:00,15.52,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-08 00:00:00,33.35,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-09 00:00:00,22.39,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-10 00:00:00,1.72,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-11 00:00:00,27.84,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-12 00:00:00,21.95,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-13 00:00:00,1.68,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-14 00:00:00,0.8,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-15 00:00:00,0.06,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-16 00:00:00,0.0,A,NA,STEWARTIA_FSDBDATA_MS04313
MS043,3,H15MET,PPT113,410,1P,PPTH1502,2014-01-17 00:00:00,0.0,A,NA,STEWARTIA_FSDBDATA_MS04313
